序号,实质性★,重要▲,参数摘要,响应结论,响应说明
155,,,支持按医院/科室/医生维度查看医生对门诊问题处方的处理情况，包括更换药物、修正错误、忽略错误及删除处方的处方数及占比；,正偏离/无偏离,平台已实现（详见对应功能模块）
156,,,支持按医院/科室/医生查看门诊处方不同等级或类型警示信息的发生次数、发生处方数及占比；,正偏离/无偏离,平台已实现（详见对应功能模块）
157,,,支持按医院/科室查看住院患者不同等级或类型警示信息的发生次数、发生患者数及占比；,正偏离/无偏离,平台已实现（详见对应功能模块）
158,,,支持按医院/科室/医生查看不同等级或类型警示信息的发生次数、发生患者数及占比；,正偏离/无偏离,平台已实现（详见对应功能模块）
159,,,支持按药品展示不同类型或等级警示信息的发生次数、发生处方数、发生患者数及占比。 +-------------------------------+-------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
160,★,,可查看各厂家已上市药品的完整说明书；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
161,★,,优先展示用户自定义添加的药品说明书。 药物手册,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
162,★,,支持通过提取说明书提纲中内容的方式将说明书生成药品的药物手册；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
163,★,,支持药物手册的查看和批量导出操作。 医药学公式,正偏离/无偏离,平台已实现（详见对应功能模块）
164,★,,"提供""心血管系统、呼吸系统、泌尿系统、内分泌系统、血液系统、肿瘤与应用、儿科学""7类医学相关计算公式的应用计算。 其他医药信息",待复核,初评未匹配，须项目组逐条人工确认
165,★,,可查询《国家基本药物处方集（2012版）》、《中华人民共和国药典(2020年版)》、《新编药物学（17版）》、《中国国家处方集（2010版）》、《国家基本药物临床应用指南（2012版）》、《临床注射药物应用指南(2014版)》、等书籍摘抄；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
166,★,,可查询国家药品监督管理局发布的药品警戒快讯、说明书修订公告、药品不良反应信息通报；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
167,★,,可查询国家卫健委和药品监督管理局发布的通知公告和法律法规。 自定义医院文献,待复核,初评未匹配，须项目组逐条人工确认
168,★,,支持用户自定义维护文献、杂志，参考文献等内容；,正偏离/无偏离,平台已实现（详见对应功能模块）
169,★,,自定义相关资料内容均支持自主查询。 自定义医院说明书,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
170,★,,支持用户对药品说明书内容进行自定义维护与更新；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
171,★,,说明书查询时，优先展示自定义添加的说明书。 ### 审核规则库 系统提供的规则库,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
172,★,,系统提供1套药品说明书规则集，及3套来源于三甲医院临床应用规则集供用户进行参考、复制、引用操作。临床应用规则集名称分别为：三甲综合医院规则集、三甲儿童医院规则集和三甲中医院规则集；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
173,★,,说明书规则集源于药品说明书标准维护，规则经过数百家医疗机构多年实践验证、累计优化；规则库覆盖用户全部药品及其它已上市药品的各项合理性审查内容；同时支持不同的问题审查结果，进行警示级别的区分；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
174,★,,三甲综合医院规则集、三甲儿童医院规则集、三甲中医院规则集是基于医院自身对用药的理解维护的规则内容；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
175,★,,三甲综合医院规则集自定义规则10000+条，其中涵盖8级规则21条、7级规则2500+条、6级规则3600+条；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
176,★,,三甲儿童医院规则集自定义规则180+条，其中涵盖8级规则80+条；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
177,★,,三甲中医院规则集自定义规则5400+条，其中涵盖8级规则400+条。 规则库的更新引导,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
178,★,,说明书规则集中的规则内容会根据说明书的修订进行新增、修改；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
179,★,,3套三甲临床应用规则集会根据回收医院的规则使用进行及时新增、修改；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
180,★,,当用户系统知识包更新后，系统可根据用户使用规则的引用情况对更新的内容做出更新提醒，用户可根据自身业务需求对更新的规则进行全部更新、部分更新、或不更新操作；,正偏离/无偏离,平台已实现（详见对应功能模块）
181,★,,当用户系统知识包更新后，系统可根据用户药品比对情况对新增的规则内容做出新增提醒，用户可根据自身业务需求对新增的规则进行全部更新、部分更新、或不更新操作。 ### 审查功能 审查问题的严重程度管理功能,正偏离/无偏离,平台已实现（详见对应功能模块）
182,★,,通过采用警示级别的设置，实现按严重程度对审查出的不合理问题进行区分： <!-- -->,待复核,初评未匹配，须项目组逐条人工确认
183,★,,"通过采用警示类型的设置，对审查出的不合理问题按照错误类型进行问题归类。支持审查的问题有""用药建议、用药提醒、管理规定、适宜性分析、规范性分析、超常性分析""等。支持自定义添加提示类型。 检验指标与用药的审查",正偏离/无偏离,平台已实现（详见对应功能模块）
184,★,,将检验指标与相关药品进行关联，实现检验指标在该药品用法用量、禁忌症、相互作用审查中的应用； <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
185,★,,系统支持结合患者诊断、检验指标、年龄等信息，实现对药品适应症、禁忌症的合理性审查；,正偏离/无偏离,平台已实现（详见对应功能模块）
186,★,,适应症：已覆盖除溶媒、肠内和肠外营养用药、疫苗、血浆制品和血浆代用品、止血药、造影剂以外的用户全部药品，及其他已上市药品；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
187,★,,禁忌症：已覆盖所有存在禁忌症的用户全部药品，及其他已上市药品； 给药途径的审查,正偏离/无偏离,平台已实现（详见对应功能模块）
188,★,,实现处方/医嘱药品的给药途径的合理性的审查；,正偏离/无偏离,平台已实现（详见对应功能模块）
189,★,,对门急诊患者处方中使用的口服剂型药品（排除肠内营养制剂），审查其给药途径是否为鼻饲、造瘘管滴入，提醒用户可能存在给药途径不合理的问题。 用法用量的审查,正偏离/无偏离,平台已实现（详见对应功能模块）
190,★,,系统支持根据患者年龄、性别、体重、体表面积、孕产、诊断、各项检验指标，结合药品的给药途径等信息对药品剂量进行合理性审查；,正偏离/无偏离,平台已实现（详见对应功能模块）
191,★,,支持药嘱每次剂量、每平米每次剂量、每公斤每次剂量的审查；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
192,★,,支持当前审查药嘱每天剂量、每平米每天剂量、每公斤每天剂量的审查；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
