序号,实质性★,重要▲,参数摘要,响应结论,响应说明
89,,,采集端负责记录盒原始数据的录入。可独立于分析软件之外的数据录入系统，支持在医院进行科室分布式的设备安放；,配套产品响应,本条所述记录盒原始数据采集端、可独立于分析软件部署并支持科室分布式设备安放，属动态心电/动态血压设备的随机采集程序，由该设备厂商提供。平台提供检查申请、报告结果承接接入点及集成平台标准消息通道（HL7/MLLP），用于接收该系统回传的检查状态与报告。
90,,,采集端支持录入病人信息，后续分析环节无需重复录入；,部分响应,对应业务登记能力已实现，字段级差异逐条比对
91,,,支持接入条形码扫描器进行扫描预约单录入信息，减少人工录入时间；,配套产品响应,本条所述接入条形码扫描器扫描预约单录入信息，属动态心电/动态血压采集端的录入能力，由该设备厂商随机软件提供。平台提供检查申请、报告结果承接接入点及集成平台标准消息通道（HL7/MLLP），用于接收该系统回传的检查状态与报告。
92,,,关键字查阅病人实时状态，亦可查阅病例的实时状态。 <!-- -->,配套产品响应,本条所述按关键字查阅动态心电/动态血压病人及病例的实时状态，属该采集分析系统的业务查询能力，由设备厂商随机软件提供。平台提供检查申请、报告结果承接接入点及集成平台标准消息通道（HL7/MLLP），用于接收该系统回传的检查状态与报告。
93,,,分析软件需免费兼容医院现有动态心电，动态血压设备，并以原始数据入网；,配套产品响应,本条所述分析软件免费兼容医院现有动态心电、动态血压设备并以原始数据入网，属对分析软件厂商的设备兼容性与商务承诺，由该分析软件厂商提供。平台不解析设备私有原始数据格式，提供集成平台标准消息通道（HL7/MLLP）及报告结果承接接入点，用于接收分析软件产出的检查状态与报告。
94,,,"分析软件部署在服务器上，支持WEB访问分析软件,不限制工作站点数量；",配套产品响应,本条所述分析软件部署于服务器、支持 WEB 访问且不限工作站点数，属动态心电/动态血压分析软件的部署形态与授权承诺，由该分析软件厂商提供。平台自身为浏览器/服务器架构，不限制工作站点数量，并提供集成平台标准消息通道（HL7/MLLP）及报告结果承接接入点。
95,,,全导联预分析，0时长等待，所有导联参与分析，无需选择导联，调整参数，自动分析完成后并以简单的文字报告结论形式提示当前心电数据分析情况；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
96,,,分析软件提供多种人性化操作菜单，按照医生浏览、编辑、总结的操作习惯设置工具菜单，更加符合人机对话；,配套产品响应,本条所述按医生浏览、编辑、总结习惯设置的人性化操作菜单，属动态心电/动态血压分析软件的交互设计能力，由该分析软件厂商提供。平台提供集成平台标准消息通道（HL7/MLLP）及报告结果承接接入点，用于接收该软件回传的检查状态与报告。
97,,,分析软件以模板为中心构建多种直方图、散点图、叠加图多画面同时互动，快速找到异常心电图提高编辑效率；,配套产品响应,本条所述以模板为中心的直方图、散点图、叠加图多画面互动编辑、快速定位异常心电图，属动态心电分析软件的编辑器能力，由该分析软件厂商提供。平台提供集成平台标准消息通道（HL7/MLLP）及报告结果承接接入点，用于接收该软件回传的检查状态与报告。
98,,,分析软件具有双导联叠加分析功能。便于进行复杂心电图分析；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
99,,,分析软件具有一键房颤重分析功能，自动识别房颤；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
100,,,分析软件具有QT间期分析、心电向量分析、心率震荡分析、T波电交替分析、心室晚电位分析、心率减速分析、睡眠窒息分析等多种高级工具分析；,配套产品响应,本条所述 QT 间期分析、心电向量分析、心率震荡分析、T 波电交替分析、心室晚电位分析、心率减速分析、睡眠窒息分析等高级分析工具，属动态心电分析软件的算法模块（多为需医疗器械注册的算法），由该分析软件厂商提供。平台提供集成平台标准消息通道（HL7/MLLP）及报告结果承接接入点。
101,,,分析软件具有一键自动起搏器分类分析；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
102,,,分析软件具有房扑分析功能；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
103,,,分析软件HR时域、频域分析等功能；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
104,,,分析软件具有ST-T段，ST段分析可根据心率自适应分析调整；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
105,,,分析软件具有T波分析及事件统计功能；,配套产品响应,本条所述 T 波分析及事件统计，属动态心电分析软件的算法模块，由该分析软件厂商提供。平台提供集成平台标准消息通道（HL7/MLLP）及报告结果承接接入点，用于接收该软件回传的检查状态与报告。
106,,,"分析软件具有一键""智能结论""功能，可自定义设置报告，自定义分析结论模板，自动按照分析情况生成报告结论，无需手动输入；",配套产品响应,本条所述一键「智能结论」、自定义报告与结论模板、按分析结果自动生成报告结论，属动态心电分析软件的结论生成模块，由该分析软件厂商提供。平台的报告模板能力位于影像检查报告侧，不覆盖动态心电结论。平台提供集成平台标准消息通道（HL7/MLLP）及报告结果承接接入点。
107,,,分析软件报告编辑按照报告处理的先后顺序排列菜单（最快心率、最慢心率、房早事件等顺序），医生可根据24小时心率趋势图的时间段进行实时图条保存。 **动态血压数据展示统计系统功能：**,配套产品响应,本条所述按报告处理顺序排列的编辑菜单（最快心率、最慢心率、房早事件等）及基于 24 小时心率趋势图时间段的实时图条保存，属动态心电分析软件的报告编辑模块，由该分析软件厂商提供。平台提供集成平台标准消息通道（HL7/MLLP）及报告结果承接接入点。
108,,,提供血压脉搏波波形显示功能，辅助医生进行二次诊断；,配套产品响应,本条所述血压脉搏波波形显示以辅助二次诊断，属动态血压分析软件的波形展示能力，由该分析软件厂商提供。平台不接收动态血压设备原始波形，提供集成平台标准消息通道（HL7/MLLP）及报告结果承接接入点，用于接收该软件回传的检查状态与报告。
109,,,智能识别病人测量状态，包括静止、心律失常、轻/中/重度运动等；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
110,,,提供多种图表辅助分析工具，包括趋势图、相关图、饼图、直方图、昼夜规律图、比较图等；,配套产品响应,本条所述动态血压的趋势图、相关图、饼图、直方图、昼夜规律图、比较图等图表辅助分析工具，属动态血压分析软件的图表模块，由该分析软件厂商提供。平台提供集成平台标准消息通道（HL7/MLLP）及报告结果承接接入点，用于接收该软件回传的检查状态与报告。
111,,,提供血压变异系数、夜间血压下降比、血压负荷、晨峰血压等分析指标；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
112,,,提供血压负荷、白大衣性高血压、隐匿性高血压、昼夜节律、动态动脉硬化指数等自动分析结论；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
113,,,支持双臂血压分析；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
